images,name,url,webshop,price,image_urls,desc
"[{'url': 'http://img.informatique.nl/110/543408.jpg', 'path': 'full/16bbd4e534bfbe40d7d74140900aa9b5eef21ca0.jpg', 'checksum': '9d92f2b40101f886672107d90b23d592'}]",Kingston HX318C9SR/4,http://www.informatique.nl/543408/kingston-hx318c9sr-4.html,Informatique,"€ 46,00",http://img.informatique.nl/110/543408.jpg,"4GB (1 modules),Cas Latency:  9,Kloksnelheid: 1866 MHz,Voltage: 1.50 V"
"[{'url': 'http://img.informatique.nl/110/676547.jpg', 'path': 'full/bea1617c75503661fa51221e4be7120245c0e669.jpg', 'checksum': '0cfed0f23b763fc9c0c6f2ff0aa65112'}]",Crucial Desktop Geheugen 8GB PC3-10600,http://www.informatique.nl/676547/crucial-desktop-geheugen-8gb-pc3-10600.html,Informatique,"€ 80,00",http://img.informatique.nl/110/676547.jpg,
"[{'url': 'http://img.informatique.nl/110/278066.jpg', 'path': 'full/1ded35d5c43603f63a58144f9b43046fa5132824.jpg', 'checksum': 'ab3064480af3582c5aa8cdad5e8b2a82'}]",Crucial BLS2C4G3D169DS3CEU,http://www.informatique.nl/278066/crucial-bls2c4g3d169ds3ceu.html,Informatique,"€ 76,00",http://img.informatique.nl/110/278066.jpg,
"[{'url': 'http://img.informatique.nl/110/145694.jpg', 'path': 'full/ae91395d1eb7c8fcb3a43d1751d6220b463c1524.jpg', 'checksum': 'f8462eb50252845199de4d7ff2e63855'}]",G.Skill NT 8GB(2x4GB) DDR3 1333MHz CL9,http://www.informatique.nl/145694/g-skill-nt-8gb-2x4gb-ddr3-1333mhz-cl9.html,Informatique,"€ 76,00",http://img.informatique.nl/110/145694.jpg,"8GB (2 modules),Cas Latency:  9,Kloksnelheid: 1333 MHz,Voltage: 1.50 V"
"[{'url': 'http://img.informatique.nl/110/147526.jpg', 'path': 'full/be1debf5715ab1daee2151e708c0f381f805cb94.jpg', 'checksum': 'dd73658f16de25688cd95ca2a0a2b5e1'}]",G.Skill Ripjaws 8GB(2x4GB) DDR3 1600MHz,http://www.informatique.nl/147526/g-skill-ripjaws-8gb-2x4gb-ddr3-1600mhz.html,Informatique,"€ 79,00",http://img.informatique.nl/110/147526.jpg,"8GB (2 modules),Cas Latency:  9,Kloksnelheid: 1600 MHz,Voltage: 1.50 V"
"[{'url': 'http://img.informatique.nl/110/407848.jpg', 'path': 'full/398abaf19513bcccce572b00d8bc6b62a74032e7.jpg', 'checksum': '98f68b167786da0a1997ea24366e7e95'}]",Avexir Core Yellow 8GB(2x4GB) DDR3,http://www.informatique.nl/407848/avexir-core-yellow-8gb-2x4gb-ddr3.html,Informatique,"€ 91,00",http://img.informatique.nl/110/407848.jpg,
"[{'url': 'http://img.informatique.nl/110/516292.jpg', 'path': 'full/d4e45056016fa7bfdd8cc9dff814541de5954cc5.jpg', 'checksum': '366adbb8896aa27c3d6e8a33fcda6012'}]",Corsair XMS3 4GB(2x2GB) DDR3 1333MHz CL8,http://www.informatique.nl/516292/corsair-xms3-4gb-2x2gb-ddr3-1333mhz-cl8.html,Informatique,"€ 53,00",http://img.informatique.nl/110/516292.jpg,"4GB (2 modules),Cas Latency:  8,Kloksnelheid: 1333 MHz,Voltage: 1.65 V"
"[{'url': 'http://img.informatique.nl/110/517436.jpg', 'path': 'full/d537f4aa2b1689b31a9d8165f3e50d18e2352559.jpg', 'checksum': '55419331db2b120816ec3bd2a5f82554'}]",Corsair XMS3 8GB(2x4GB) DDR3 1600MHz CL9,http://www.informatique.nl/517436/corsair-xms3-8gb-2x4gb-ddr3-1600mhz-cl9.html,Informatique,"€ 85,00",http://img.informatique.nl/110/517436.jpg,"8GB (2 modules),Cas Latency:  9,Kloksnelheid: 1600 MHz,Voltage: 1.65 V"
"[{'url': 'http://img.informatique.nl/110/521709.jpg', 'path': 'full/d5ed8c879fe292187dc46cd464593346d6389ecf.jpg', 'checksum': 'dcf3e891ab8aaa7ed339d7a9dc0f658c'}]",Corsair Vengeance Blue 4GB(2x2GB),http://www.informatique.nl/521709/corsair-vengeance-blue-4gb-2x2gb.html,Informatique,"€ 49,00",http://img.informatique.nl/110/521709.jpg,"4GB (2 modules),Cas Latency:  9,Kloksnelheid: 1600 MHz,Voltage: 1.50 V"
"[{'url': 'http://img.informatique.nl/110/524003.jpg', 'path': 'full/cb3fd2f9a5e2938519d51c61235be9506954b957.jpg', 'checksum': '654acb658f9aed0b600a53f3da01335e'}]",Corsair Vengeance CMZ8GX3M1A1600C10,http://www.informatique.nl/524003/corsair-vengeance-cmz8gx3m1a1600c10.html,Informatique,"€ 79,00",http://img.informatique.nl/110/524003.jpg,"8GB (1 modules),Cas Latency: 10,Kloksnelheid: 1600 MHz,Voltage: 1.50 V"
"[{'url': 'http://img.informatique.nl/110/524009.jpg', 'path': 'full/ccb40bfee9161d78af0212f3b1215bc6fcbcc716.jpg', 'checksum': 'ed5a784da788b6b08b30f6eb5bf16cbc'}]",Corsair XMS3 CMX16GX3M4A1333C9,http://www.informatique.nl/524009/corsair-xms3-cmx16gx3m4a1333c9.html,Informatique,"€ 175,00",http://img.informatique.nl/110/524009.jpg,"16GB (4 modules),Cas Latency:  9,Kloksnelheid: 1333 MHz,Voltage: 1.50 V"
"[{'url': 'http://img.informatique.nl/110/524014.jpg', 'path': 'full/e5b7122d795f2fb9dd4cb58fd8e9757bf8407033.jpg', 'checksum': '29ecf04e6b193e299490b4bdaa945ffa'}]",Corsair Vengeance LP CML4GX3M2A1600C9B,http://www.informatique.nl/524014/corsair-vengeance-lp-cml4gx3m2a1600c9b.html,Informatique,"€ 49,00",http://img.informatique.nl/110/524014.jpg,"4GB (2 modules),Cas Latency:  9,Kloksnelheid: 1600 MHz,Voltage: 1.50 V"
"[{'url': 'http://img.informatique.nl/110/524837.jpg', 'path': 'full/aefce5b87fc2dd82faf8a93e234c6ee36cb64567.jpg', 'checksum': '792bdc6038100d25b91aeb674b061ff5'}]",Corsair Vengeance CMZ8GX3M2A1600C8R,http://www.informatique.nl/524837/corsair-vengeance-cmz8gx3m2a1600c8r.html,Informatique,"€ 99,00",http://img.informatique.nl/110/524837.jpg,"8GB (2 modules),Cas Latency:  8,Kloksnelheid: 1600 MHz,Voltage: 1.50 V"
"[{'url': 'http://img.informatique.nl/110/525104.jpg', 'path': 'full/8ee2ba5b10a59bc384f590dfc62b158da35e97ee.jpg', 'checksum': 'ab5f4cc6d1d6a94804256534b9d3f249'}]",Corsair CMZ16GX3M2A1600C10,http://www.informatique.nl/525104/corsair-cmz16gx3m2a1600c10.html,Informatique,"€ 160,00",http://img.informatique.nl/110/525104.jpg,"16GB (2 modules),Cas Latency: 10,Kloksnelheid: 1600 MHz,Voltage: 1.50 V"
