images,name,url,webshop,price,image_urls,desc
"[{'url': 'http://img.informatique.nl/110/534812.jpg', 'path': 'full/bc663a89990e9c1d72867295678fd815fd526ff7.jpg', 'checksum': '9e9be122aeacab4ab67aebe755db936a'}]",AMD Athlon X2 370,http://www.informatique.nl/534812/amd-athlon-x2-370.html,Informatique,"€ 49,00",http://img.informatique.nl/110/534812.jpg,"Athlon X2 ,FM2 ,AMD Turbo CORE,65 Watt,Inclusief koeler"
"[{'url': 'http://img.informatique.nl/110/529491.jpg', 'path': 'full/8f330a65ede3b779699a414edceb0575c0975208.jpg', 'checksum': 'aa4a827bf9e2235bddec34491eb98688'}]",AMD Sempron 145 2.8GHz AM3,http://www.informatique.nl/529491/amd-sempron-145-2-8ghz-am3.html,Informatique,"€ 29,00",http://img.informatique.nl/110/529491.jpg,"Sempron ,AM3 ,45 Watt,Inclusief koeler"
"[{'url': 'http://img.informatique.nl/110/539510.jpg', 'path': 'full/5ff4f46b73fe9dcef52fbc3024da32a9883e340c.jpg', 'checksum': '8f7a730e84066daa2ab1f2622aee9e22'}]","AMD Athlon 5150, 1,6GHz, 2MB, AM1",http://www.informatique.nl/539510/amd-athlon-5150-1-6ghz-2mb-am1.html,Informatique,"€ 41,00",http://img.informatique.nl/110/539510.jpg,"AM1 , 1.6Ghz , 2MB "
"[{'url': 'http://img.informatique.nl/110/116312.jpg', 'path': 'full/11a11cde0f5ec45857e82c15a718b03532dba0fa.jpg', 'checksum': '6586078d6b040c6a3a7340525119d418'}]","AMD A10-5700, 3.4GHz, 4MB, FM2",http://www.informatique.nl/116312/amd-a10-5700-3-4ghz-4mb-fm2.html,Informatique,"€ 103,00",http://img.informatique.nl/110/116312.jpg,"A-Series ,FM2 ,AMD Turbo CORE,65 Watt,Inclusief koeler"
"[{'url': 'http://img.informatique.nl/110/534819.jpg', 'path': 'full/78bf36de1fef1d649bd7218af93afd9bca3e3dde.jpg', 'checksum': '6586078d6b040c6a3a7340525119d418'}]",AMD A10-6700K,http://www.informatique.nl/534819/amd-a10-6700k.html,Informatique,"€ 127,00",http://img.informatique.nl/110/534819.jpg,"A-Series ,FM2 ,AMD Turbo CORE,Black Edition,65 Watt"
"[{'url': 'http://img.informatique.nl/110/535013.jpg', 'path': 'full/8d5cfbdd6532eae71401caff347c0968d69e2489.jpg', 'checksum': 'c453ef96c9833ff9c778e9969a0788a7'}]",AMD FX-4350,http://www.informatique.nl/535013/amd-fx-4350.html,Informatique,"€ 94,00",http://img.informatique.nl/110/535013.jpg,"FX-Serie ,AM3+ ,AMD Turbo CORE,Black Edition,128 Watt"
"[{'url': 'http://img.informatique.nl/110/538859.jpg', 'path': 'full/de272a9dad58dad5412396a202c9f253c5d476b7.jpg', 'checksum': 'a99ff5631d9b4c8867ee5fccfe302627'}]",AMD A4-4020,http://www.informatique.nl/538859/amd-a4-4020.html,Informatique,"€ 26,00",http://img.informatique.nl/110/538859.jpg,
"[{'url': 'http://img.informatique.nl/110/538860.jpg', 'path': 'full/89e5171d83b3349cf69c588c7d99dad2a80570b3.jpg', 'checksum': 'a99ff5631d9b4c8867ee5fccfe302627'}]",AMD A6-6420,http://www.informatique.nl/538860/amd-a6-6420.html,Informatique,"€ 63,00",http://img.informatique.nl/110/538860.jpg,
"[{'url': 'http://img.informatique.nl/110/540395.jpg', 'path': 'full/984da4da55615d56e4c4deb03f5349eeb8ecdb73.jpg', 'checksum': 'a8c7a32976570de1ee7d5074f2931c64'}]",AMD A4-6320,http://www.informatique.nl/540395/amd-a4-6320.html,Informatique,"€ 35,00",http://img.informatique.nl/110/540395.jpg,
"[{'url': 'http://img.informatique.nl/110/542046.jpg', 'path': 'full/7376256cf31efd9dae64ba8144e28fe325b77971.jpg', 'checksum': '347c903c22ed30da1480b55102c770de'}]","AMD FX-9370, 4.4Ghz, 8MB, AM3+",http://www.informatique.nl/542046/amd-fx-9370-4-4ghz-8mb-am3.html,Informatique,"€ 259,00",http://img.informatique.nl/110/542046.jpg,
"[{'url': 'http://img.informatique.nl/110/542047.jpg', 'path': 'full/fc29d3d151e8c638548f4b23876c263d8731761d.jpg', 'checksum': '347c903c22ed30da1480b55102c770de'}]","AMD FX-9590, 4.7Ghz, 8MB, AM3+",http://www.informatique.nl/542047/amd-fx-9590-4-7ghz-8mb-am3.html,Informatique,"€ 281,00",http://img.informatique.nl/110/542047.jpg,
"[{'url': 'http://img.informatique.nl/110/543443.jpg', 'path': 'full/29d36839c720bfb9938039c818f489bf9f0f62bf.jpg', 'checksum': '04d247bed32c762b816d4346e9fd69f3'}]","AMD FX-8370E, 3.30GHz, 8MB, AM3+",http://www.informatique.nl/543443/amd-fx-8370e-3-30ghz-8mb-am3.html,Informatique,"€ 193,00",http://img.informatique.nl/110/543443.jpg,
"[{'url': 'http://img.informatique.nl/110/544320.jpg', 'path': 'full/ba363391561a27ada77b9fd2d5e056b5c42c6894.jpg', 'checksum': '0e25fc4dfa14200615b525aefb22cfad'}]","AMD A4-6300, 3.7Ghz, 1MB, FM2, HD8370D",http://www.informatique.nl/544320/amd-a4-6300-3-7ghz-1mb-fm2-hd8370d.html,Informatique,"€ 32,00",http://img.informatique.nl/110/544320.jpg,"A-Series , FM2 , AMD Turbo CORE , 65 Watt , Inclusief koeler"
"[{'url': 'http://img.informatique.nl/110/544507.jpg', 'path': 'full/57c4152b9df2e934358e1b8bd4564887cc921b45.jpg', 'checksum': 'cb65749911ff3696dab95fafd34dcbbc'}]","AMD FX-9590, 4.7GHz, 8MB, AM3+",http://www.informatique.nl/544507/amd-fx-9590-4-7ghz-8mb-am3.html,Informatique,"€ 209,00",http://img.informatique.nl/110/544507.jpg,
