images,name,url,webshop,price,image_urls,desc
"[{'url': 'http://img.informatique.nl/110/111916.jpg', 'path': 'full/2fd819f13fb122bba5e51ee5a2762d6d74f7d45d.jpg', 'checksum': '9284763259aef280e4c12b4ada2e6b46'}]",Seasonic G Series 550W,http://www.informatique.nl/111916/seasonic-g-series-550w.html,Informatique,"€ 86,95",http://img.informatique.nl/110/111916.jpg,"ATX ,550 Watt,Modulair,80+ Efficiency"
"[{'url': 'http://img.informatique.nl/110/111930.jpg', 'path': 'full/1d5ee073c5b1df7423ea07d38e6e5d4062085eea.jpg', 'checksum': 'c3bef6ac85810f569c41b7cdacc5d2a3'}]",Seasonic Platinum Series 400W Fanless,http://www.informatique.nl/111930/seasonic-platinum-series-400w-fanless.html,Informatique,"€ 119,00",http://img.informatique.nl/110/111930.jpg,"ATX ,400 Watt,Modulair,80+ Efficiency"
"[{'url': 'http://img.informatique.nl/110/111931.jpg', 'path': 'full/2d473cd8934a6c52d5e328aaff9ffc821ebc02e5.jpg', 'checksum': 'c3bef6ac85810f569c41b7cdacc5d2a3'}]",Seasonic Platinum Series 460W Fanless,http://www.informatique.nl/111931/seasonic-platinum-series-460w-fanless.html,Informatique,"€ 125,00",http://img.informatique.nl/110/111931.jpg,"ATX ,460 Watt,Modulair,80+ Efficiency"
"[{'url': 'http://img.informatique.nl/110/530664.jpg', 'path': 'full/d0599636a6554e4281a4cef5cff29a1fc1f2e09e.jpg', 'checksum': '931115e7673d0032fc6ef4489de5148e'}]",Corsair Professional Platinum AX860,http://www.informatique.nl/530664/corsair-professional-platinum-ax860.html,Informatique,"€ 179,00",http://img.informatique.nl/110/530664.jpg,"ATX ,860 Watt,Modulair,80+ Efficiency"
"[{'url': 'http://img.informatique.nl/110/531258.jpg', 'path': 'full/7d4c0b1fde7bc0e6e2a0ac128c7182796d79b822.jpg', 'checksum': '750a9e7b1a423e4f4c1b0e4afcfa5b59'}]",Corsair Builder Series CX430,http://www.informatique.nl/531258/corsair-builder-series-cx430.html,Informatique,"€ 42,00",http://img.informatique.nl/110/531258.jpg,
"[{'url': 'http://img.informatique.nl/110/536806.jpg', 'path': 'full/a55987f614bf8921b83a8a5f8a9a881c4b04d883.jpg', 'checksum': '7a36fa0967896115e770bfa27b411fc1'}]",CoolerMaster G450M 450W,http://www.informatique.nl/536806/coolermaster-g450m-450w.html,Informatique,"€ 49,00",http://img.informatique.nl/110/536806.jpg,
"[{'url': 'http://img.informatique.nl/110/536809.jpg', 'path': 'full/9670f07296d26317380471ea4a27263e7a092971.jpg', 'checksum': '7a36fa0967896115e770bfa27b411fc1'}]",CoolerMaster GM G750M 750W,http://www.informatique.nl/536809/coolermaster-gm-g750m-750w.html,Informatique,"€ 75,00",http://img.informatique.nl/110/536809.jpg,
"[{'url': 'http://img.informatique.nl/110/537035.jpg', 'path': 'full/6696eb98243be1edce514b459900b2c3cfaf50ed.jpg', 'checksum': '8e591837c7f7e060fd1a54082db014d8'}]",Corsair Enthusiast Series RM1000,http://www.informatique.nl/537035/corsair-enthusiast-series-rm1000.html,Informatique,"€ 165,00",http://img.informatique.nl/110/537035.jpg,"ATX ,1000 Watt,Modulair,80+ Efficiency,140mm Fan"
"[{'url': 'http://img.informatique.nl/110/537865.jpg', 'path': 'full/0878098da767151733ef3d2715ade64e95dfa7e8.jpg', 'checksum': '7077b6a772734aaf4f8def1831fe9491'}]",Corsair CS450M,http://www.informatique.nl/537865/corsair-cs450m.html,Informatique,"€ 67,00",http://img.informatique.nl/110/537865.jpg,
"[{'url': 'http://img.informatique.nl/110/543713.jpg', 'path': 'full/a84558895e369922745f2a5a587851b970d2580f.jpg', 'checksum': '0dae5c9d2bae52433d1cec8774d3b201'}]",Be Quiet! Straight Power 10 400W,http://www.informatique.nl/543713/be-quiet-straight-power-10-400w.html,Informatique,"€ 68,00",http://img.informatique.nl/110/543713.jpg,
"[{'url': 'http://img.informatique.nl/110/561681.jpg', 'path': 'full/04d2321e623865fa49cc5949a13c5f82320eb5e2.jpg', 'checksum': 'd03b3f3a85ba421432659cf300d17055'}]",Be Quiet! Power Zone 650W,http://www.informatique.nl/561681/be-quiet-power-zone-650w.html,Informatique,"€ 99,00",http://img.informatique.nl/110/561681.jpg,"ATX ,650 Watt,Modulair,80+ Efficiency"
"[{'url': 'http://img.informatique.nl/110/110938.jpg', 'path': 'full/0b04b666640d33efdb5af2dd2258b008b13cee63.jpg', 'checksum': '4f499732192a0723d16befb7ad903fc3'}]",Seasonic SS-250SU,http://www.informatique.nl/110938/seasonic-ss-250su.html,Informatique,"€ 45,00",http://img.informatique.nl/110/110938.jpg,"Flex ATX ,250 Watt,80+ Efficiency,40mm Fan"
